case_id,node,corner,temp_k,vdd,snm_mv,noise,ber,leakage_mw,tail_latency_ms,energy_per_token_uj,tokens_per_second,accuracy_degradation_percent,is_acceptable,reference_snm_mv,reference_noise,reference_ber,reference_leakage_mw,reference_tail_latency_ms,reference_energy_per_token_uj,reference_tokens_per_second,reference_accuracy_degradation_percent,reference_is_acceptable,native_backend_label,native_engine,config_source,data_source
14nm_ss_t330_v0p85,14nm,ss,330.0,0.85,172.72661754553835,0.13380396995720842,0.5849609375,1.9949999999999999,1.0,1.9949999999999999,1000.0,12.616084190386623,False,179.9235599432691,0.12743235234019848,0.46796875,2.1,1.0,2.1,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ss_t330_v0p95,14nm,ss,330.0,0.95,182.55508720778602,0.12235271876323704,0.56689453125,2.492024221453287,1.0,2.492024221453287,1000.0,8.899502885235929,True,190.1615491747771,0.1165263988221305,0.453515625,2.6231833910034603,1.0,2.6231833910034603,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ss_t360_v0p75,14nm,ss,360.0,0.75,158.5027347061914,0.16417238344475255,0.60009765625,1.5532006920415222,1.0,1.5532006920415222,1000.0,100.0,False,165.10701531894938,0.15635465089976433,0.480078125,1.634948096885813,1.0,1.634948096885813,1000.0,100.0,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ss_t360_v0p85,14nm,ss,360.0,0.85,168.09086174177352,0.15605431565897102,0.5830078125,1.9949999999999999,1.0,1.9949999999999999,1000.0,100.0,False,175.09464764768077,0.14862315777044857,0.46640625,2.1,1.0,2.1,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
14nm_ss_t360_v0p95,14nm,ss,360.0,0.95,177.55937372295205,0.14603985287890195,0.5712890625,2.492024221453287,1.0,2.492024221453287,1000.0,50.04558246018907,False,184.95768096140839,0.1390855741703828,0.45703125,2.6231833910034603,1.0,2.6231833910034603,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/14nm.json,proxy-calibrated
22nm_tt_t300_v0p85,22nm,tt,300.0,0.85,194.26138347903571,0.0965681083380581,0.3871484375,1.120775623268698,1.0,1.120775623268698,1000.0,1.582580274039704,True,185.01084140860544,0.10496533515006315,0.45546875,1.120775623268698,1.0,1.120775623268698,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_tt_t300_v0p95,22nm,tt,300.0,0.95,204.76160730679757,0.08632716905218227,0.38515625,1.4,1.0,1.4,1000.0,1.582580274039704,True,195.01105457790243,0.09383387940454593,0.453125,1.4,1.0,1.4,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_tt_t300_v1p05,22nm,tt,300.0,1.05,215.22918057036796,0.07639412391473166,0.362578125,1.7102493074792247,1.0,1.7102493074792247,1000.0,1.582580274039704,True,204.980171971779,0.08303709121166485,0.4265625,1.7102493074792247,1.0,1.7102493074792247,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_tt_t330_v0p85,22nm,tt,330.0,0.85,189.0083248832693,0.11723776415298261,0.39644531250000004,1.120775623268698,1.0,1.120775623268698,1000.0,8.899502885235929,True,180.00792846025647,0.12743235234019848,0.46640625,1.120775623268698,1.0,1.120775623268698,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_tt_t330_v0p95,22nm,tt,330.0,0.95,199.58481955187193,0.10720428691636007,0.38515625,1.4,1.0,1.4,1000.0,8.899502885235929,True,190.0807805255923,0.1165263988221305,0.453125,1.4,1.0,1.4,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_tt_t330_v1p05,22nm,tt,330.0,1.05,210.06968324339817,0.09599509782850554,0.3658984375,1.7102493074792247,1.0,1.7102493074792247,1000.0,8.899502885235929,True,200.06636499371254,0.10434249763967993,0.43046875,1.7102493074792247,1.0,1.7102493074792247,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_tt_t360_v0p85,22nm,tt,360.0,0.85,183.8082291835761,0.13673330514881268,0.4017578125,1.120775623268698,1.0,1.120775623268698,1000.0,50.04558246018907,False,175.05545636531056,0.14862315777044857,0.47265625,1.120775623268698,1.0,1.120775623268698,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_tt_t360_v0p95,22nm,tt,360.0,0.95,194.23023420272062,0.1279587282367522,0.3898046875,1.4,1.0,1.4,1000.0,50.04558246018907,False,184.98117543116248,0.1390855741703828,0.45859375,1.4,1.0,1.4,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_tt_t360_v1p05,22nm,tt,360.0,1.05,204.65851681016696,0.11731114325081195,0.38748046875,1.7102493074792247,1.0,1.7102493074792247,1000.0,50.04558246018907,False,194.91287315253996,0.1275121122291434,0.455859375,1.7102493074792247,1.0,1.7102493074792247,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ff_t300_v0p85,22nm,ff,300.0,0.85,203.86515803331687,0.09173970292115519,0.316359375,1.210437673130194,1.0,1.210437673130194,1000.0,1.582580274039704,True,184.9117079667273,0.10496533515006315,0.465234375,1.120775623268698,1.0,1.120775623268698,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ff_t300_v0p95,22nm,ff,300.0,0.95,215.0962493226335,0.08201081059957314,0.29750000000000004,1.512,1.0,1.512,1000.0,1.582580274039704,True,195.0986388413909,0.09383387940454593,0.4375,1.4,1.0,1.4,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ff_t300_v1p05,22nm,ff,300.0,1.05,225.9223742409801,0.07257441771899507,0.305734375,1.8470692520775627,1.0,1.8470692520775627,1000.0,1.582580274039704,True,204.91825327980055,0.08303709121166485,0.449609375,1.7102493074792247,1.0,1.7102493074792247,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ff_t330_v0p85,22nm,ff,330.0,0.85,198.6169264858613,0.11137587594533348,0.31981250000000006,1.210437673130194,1.0,1.210437673130194,1000.0,8.899502885235929,True,180.15140724341163,0.12743235234019848,0.4703125,1.120775623268698,1.0,1.120775623268698,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ff_t330_v0p95,22nm,ff,330.0,0.95,209.4624223581337,0.10184407257054207,0.30653125000000003,1.512,1.0,1.512,1000.0,8.899502885235929,True,189.98859170805775,0.1165263988221305,0.45078125,1.4,1.0,1.4,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ff_t330_v1p05,22nm,ff,330.0,1.05,220.51136666942259,0.09119534293708026,0.297765625,1.8470692520775627,1.0,1.8470692520775627,1000.0,8.899502885235929,True,200.01030990423817,0.10434249763967993,0.437890625,1.7102493074792247,1.0,1.7102493074792247,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ff_t360_v0p85,22nm,ff,360.0,0.85,192.90437560334428,0.12989663989137204,0.32565625,1.210437673130194,1.0,1.210437673130194,1000.0,50.04558246018907,False,174.9699551957771,0.14862315777044857,0.47890625,1.120775623268698,1.0,1.120775623268698,1000.0,50.27692816174506,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ff_t360_v0p95,22nm,ff,360.0,0.95,203.9270188325943,0.12156079182491458,0.311046875,1.512,1.0,1.512,1000.0,50.04558246018907,False,184.96781753523294,0.1390855741703828,0.457421875,1.4,1.0,1.4,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ff_t360_v1p05,22nm,ff,360.0,1.05,214.95054166752388,0.11144558608827135,0.308125,1.8470692520775627,1.0,1.8470692520775627,1000.0,50.04558246018907,False,194.96647770296948,0.1275121122291434,0.453125,1.7102493074792247,1.0,1.7102493074792247,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ss_t300_v0p85,22nm,ss,300.0,0.85,184.49258707834755,0.10236219483834158,0.481279296875,1.053529085872576,1.0,1.053529085872576,1000.0,1.582580274039704,True,184.95497451463413,0.10496533515006315,0.435546875,1.120775623268698,1.0,1.120775623268698,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ss_t300_v0p95,22nm,ss,300.0,0.95,194.51519275127166,0.09150679919531321,0.50847265625,1.3159999999999998,1.0,1.3159999999999998,1000.0,1.582580274039704,True,195.00269950002172,0.09383387940454593,0.46015625,1.4,1.0,1.4,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ss_t300_v1p05,22nm,ss,300.0,1.05,204.40377806504594,0.08097777134961556,0.479984375,1.607634349030471,1.0,1.607634349030471,1000.0,1.582580274039704,True,204.91606823563504,0.08303709121166485,0.434375,1.7102493074792247,1.0,1.7102493074792247,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ss_t330_v0p85,22nm,ss,330.0,0.85,179.59910768988982,0.12427203000216157,0.524875,1.053529085872576,1.0,1.053529085872576,1000.0,8.899502885235929,True,180.04923076680683,0.12743235234019848,0.475,1.120775623268698,1.0,1.120775623268698,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ss_t330_v0p95,22nm,ss,330.0,0.95,189.55381445049113,0.11363654413134168,0.4955234375,1.3159999999999998,1.0,1.3159999999999998,1000.0,8.899502885235929,True,190.02888666715901,0.1165263988221305,0.4484375,1.4,1.0,1.4,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ss_t330_v1p05,22nm,ss,330.0,1.05,199.52978475002342,0.10175480369821588,0.4955234375,1.607634349030471,1.0,1.607634349030471,1000.0,8.899502885235929,True,200.0298593985197,0.10434249763967993,0.4484375,1.7102493074792247,1.0,1.7102493074792247,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ss_t360_v0p85,22nm,ss,360.0,0.85,174.64979560930234,0.14493730345774145,0.492501953125,1.053529085872576,1.0,1.053529085872576,1000.0,52.809579277508156,False,175.08751439529058,0.14862315777044857,0.445703125,1.120775623268698,1.0,1.120775623268698,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ss_t360_v0p95,22nm,ss,360.0,0.95,184.5506014943746,0.13563625193095732,0.49422851562500003,1.3159999999999998,1.0,1.3159999999999998,1000.0,50.04558246018907,False,185.0131343302001,0.1390855741703828,0.447265625,1.4,1.0,1.4,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
22nm_ss_t360_v1p05,22nm,ss,360.0,1.05,194.47427130845796,0.12434981184586066,0.489912109375,1.607634349030471,1.0,1.607634349030471,1000.0,50.04558246018907,False,194.96167549720096,0.1275121122291434,0.443359375,1.7102493074792247,1.0,1.7102493074792247,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/22nm.json,proxy-calibrated
7nm_tt_t300_v0p65,7nm,tt,300.0,0.65,148.63782914582316,0.1383379187606615,0.6428320312500001,2.2533333333333334,1.1597633136094674,2.613333333333333,862.2448979591837,100.0,False,165.15314349535907,0.12351599889344778,0.476171875,2.2533333333333334,1.1597633136094674,2.613333333333333,862.2448979591837,22.689391482982696,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/7nm.json,proxy-calibrated
7nm_tt_t300_v0p75,7nm,tt,300.0,0.75,157.56547668720395,0.12889569260576897,0.6338671875,3.0,1.0,3.0,1000.0,22.996794394753795,False,175.07275187467107,0.11508543982657941,0.46953125,3.0,1.0,3.0,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/7nm.json,proxy-calibrated
7nm_tt_t300_v0p85,7nm,tt,300.0,0.85,166.4847002352798,0.11756117536807074,0.62279296875,3.8533333333333326,1.0,3.8533333333333326,1000.0,5.848606454043168,True,184.983000261422,0.10496533515006315,0.461328125,3.8533333333333326,1.0,3.8533333333333326,1000.0,1.582580274039704,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/7nm.json,proxy-calibrated
7nm_tt_t330_v0p65,7nm,tt,330.0,0.65,143.90249497412884,0.1609940165557706,0.65390625,2.2533333333333334,1.1597633136094674,2.613333333333333,862.2448979591837,100.0,False,159.89166108236537,0.1437446576390809,0.484375,2.2533333333333334,1.1597633136094674,2.613333333333333,862.2448979591837,100.0,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/7nm.json,proxy-calibrated
7nm_tt_t330_v0p75,7nm,tt,330.0,0.75,152.97552985017077,0.15283452432828337,0.6380859375000001,3.0,1.0,3.0,1000.0,100.0,False,169.97281094463418,0.13645939672168156,0.47265625,3.0,1.0,3.0,1000.0,19.25358848481929,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/7nm.json,proxy-calibrated
7nm_tt_t330_v0p85,7nm,tt,330.0,0.85,162.00165987553257,0.14272423462102232,0.63439453125,3.8533333333333326,1.0,3.8533333333333326,1000.0,65.45182439062148,False,180.0018443061473,0.12743235234019848,0.469921875,3.8533333333333326,1.0,3.8533333333333326,1000.0,8.899502885235929,True,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/7nm.json,proxy-calibrated
7nm_tt_t360_v0p65,7nm,tt,360.0,0.65,139.57336519116976,0.18230867950584315,0.64546875,2.2533333333333334,1.1597633136094674,2.613333333333333,862.2448979591837,100.0,False,155.0815168790775,0.16277560670164565,0.478125,2.2533333333333334,1.1597633136094674,2.613333333333333,862.2448979591837,100.0,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/7nm.json,proxy-calibrated
7nm_tt_t360_v0p75,7nm,tt,360.0,0.75,148.5528856964981,0.17511720900773606,0.6359765625,3.0,1.0,3.0,1000.0,100.0,False,165.0587618849979,0.15635465089976433,0.47109375,3.0,1.0,3.0,1000.0,100.0,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/7nm.json,proxy-calibrated
7nm_tt_t360_v0p85,7nm,tt,360.0,0.85,157.5886366470509,0.1664579367029024,0.6317578125000001,3.8533333333333326,1.0,3.8533333333333326,1000.0,100.0,False,175.09848516338988,0.14862315777044857,0.46796875,3.8533333333333326,1.0,3.8533333333333326,1000.0,50.04558246018907,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/7nm.json,proxy-calibrated
7nm_ff_t300_v0p65,7nm,ff,300.0,0.65,152.96288204939614,0.13280440201023505,0.554923828125,2.523733333333334,1.1597633136094674,2.926933333333334,862.2448979591837,100.0,False,165.00850275015765,0.12351599889344778,0.48359375,2.2533333333333334,1.1597633136094674,2.613333333333333,862.2448979591837,23.19880235282406,False,hybrid-native,cpu,F:/gpu experiment/SRAM_nosie_simulation-GPU-experiment/configs/nodes/7nm.json,proxy-calibrated
